"SalePrice","MSZoning_FV","MSZoning_RH","MSZoning_RL","MSZoning_RM","LotArea","StreetPave","LandContourHLS","LandContourLow","LandContourLvl","LotConfigCulDSac","LotConfigFR2","LotConfigFR3","LotConfigInside","LandSlopeMod","LandSlopeSev","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","Condition1Feedr","Condition1Norm","Condition1PosA","Condition1PosN","Condition1RRAe","Condition1RRAn","Condition1RRNe","Condition1RRNn","Condition2Feedr","Condition2Norm","Condition2PosA","Condition2PosN","Condition2RRAe","Condition2RRAn","Condition2RRNn","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyle1.5Unf","HouseStyle1Story","HouseStyle2.5Fin","HouseStyle2.5Unf","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyleGable","RoofStyleGambrel","RoofStyleHip","RoofStyleMansard","RoofStyleShed","RoofMatlCompShg","RoofMatlMembran","RoofMatlMetal","RoofMatlRoll","RoofMatlTar.Grv","RoofMatlWdShake","RoofMatlWdShngl","MasVnrArea","ExterQualFa","ExterQualGd","ExterQualTA","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationStone","FoundationWood","BsmtQual_Fa","BsmtQual_Gd","BsmtQual_None","BsmtQual_TA","BsmtCond_Gd","BsmtCond_None","BsmtCond_Po","BsmtCond_TA","BsmtExposure_Gd","BsmtExposure_Mn","BsmtExposure_No","BsmtExposure_None","BsmtFinType1_BLQ","BsmtFinType1_GLQ","BsmtFinType1_LwQ","BsmtFinType1_None","BsmtFinType1_Rec","BsmtFinType1_Unf","BsmtFinSF1","BsmtFinType2_BLQ","BsmtFinType2_GLQ","BsmtFinType2_LwQ","BsmtFinType2_None","BsmtFinType2_Rec","BsmtFinType2_Unf","BsmtFinSF2","BsmtUnfSF","HeatingQCFa","HeatingQCGd","HeatingQCPo","HeatingQCTA","X1stFlrSF","X2ndFlrSF","FullBath","BedroomAbvGr","KitchenAbvGr","KitchenQualFa","KitchenQualGd","KitchenQualTA","TotRmsAbvGrd","FunctionalMaj2","FunctionalMin1","FunctionalMin2","FunctionalMod","FunctionalSev","FunctionalTyp","Fireplaces","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","GarageCars","GarageArea","GarageQual_Fa","GarageQual_Gd","GarageQual_None","GarageQual_Po","GarageQual_TA","GarageCond_Fa","GarageCond_Gd","GarageCond_None","GarageCond_Po","GarageCond_TA","WoodDeckSF","ScreenPorch","PoolArea","PoolQC_Fa","PoolQC_Gd","PoolQC_None","Fence_GdWo","Fence_MnPrv","Fence_MnWw","Fence_None","SaleTypeCon","SaleTypeConLD","SaleTypeConLI","SaleTypeConLw","SaleTypeCWD","SaleTypeNew","SaleTypeOth","SaleTypeWD","SaleConditionAdjLand","SaleConditionAlloca","SaleConditionFamily","SaleConditionNormal","SaleConditionPartial","IfRemodelled_1"
208500,0,0,1,0,0.0334198041552735,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0.5,0.949275362318841,0.883333333333333,1,0,0,0,0,1,0,0,0,0,0,0,0.1225,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.125088589652729,0,0,0,0,0,1,0,0.0642123287671233,0,0,0,0,0.109640831758034,0.413559322033898,0.5,0.375,0.333333333333333,0,1,0,0.461538461538462,0,0,0,0,0,1,0,1,0,0,0,0,0.4,0.368279569892473,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
181500,0,0,1,0,0.0446001908091964,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571428571,0.882352941176471,0.983076584586419,0.983077140036666,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.173281360737066,0,0,0,0,0,1,0,0.121575342465753,0,0,0,0,0.247677628017544,0,0.5,0.375,0.333333333333333,0,0,1,0.380952380952381,0,0,0,0,0,1,0.25,1,0,0,0,0,0.4,0.309139784946237,0,0,0,0,1,0,0,0,0,1,0.209269662921348,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
223500,0,0,1,0,0.0522658752905348,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.681818181818182,0.529411764705882,0.995520272390523,0.996018150596863,1,0,0,0,0,1,0,0,0,0,0,0,0.10125,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0861091424521616,0,0,0,0,0,1,0,0.185787671232877,0,0,0,0,0.18055155151924,0.419370460048426,0.5,0.375,0.333333333333333,0,1,0,0.384364820846906,0,0,0,0,0,1,0.25,1,0,0,0,0,0.4,0.408602150537634,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
140000,0,0,1,0,0.044367897340065,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.681818181818182,0.529411764705882,0.952713986344405,0.980090752984313,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0382707299787385,0,0,0,0,0,1,0,0.231164383561644,0,1,0,0,0.188598829695937,0.366101694915254,0.25,0.375,0.333333333333333,0,1,0,0.452768729641694,0,0,0,0,0,1,0.25,0,0,0,0,1,0.6,0.431451612903226,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
250000,0,0,1,0,0.066249942132249,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.787878787878788,0.529411764705882,0.995022524878358,0.995022688246078,1,0,0,0,0,1,0,0,0,0,0,0,0.21875,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.116052445074415,0,0,0,0,0,1,0,0.209760273972603,0,0,0,0,0.224713443952334,0.509927360774818,0.5,0.5,0.333333333333333,0,1,0,0.58957654723127,0,0,0,0,0,1,0.25,1,0,0,0,0,0.6,0.561827956989247,0,0,0,0,1,0,0,0,0,1,0.134831460674157,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
143000,0,0,1,0,0.0655762910717678,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46969696969697,0.529411764705882,0.991538292293209,0.992534032369117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.129695251594614,0,0,0,0,0,1,0,0.0273972602739726,0,0,0,0,0.156213441911667,0.27409200968523,0.25,0.125,0.333333333333333,0,0,1,0.315960912052117,0,0,0,0,0,1,0,1,0,0,0,0,0.4,0.32258064516129,0,0,0,0,1,0,0,0,0,1,0.0280898876404494,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
307000,0,0,1,0,0.046848791590389,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.790143084260731,0.529411764705882,0.997013514927015,0.997511344123039,1,0,0,0,0,1,0,0,0,0,0,0,0.11625,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.242558469170801,0,0,0,0,0,1,0,0.135702054794521,0,0,0,0,0.332468461489086,0,0.5,0.375,0.333333333333333,0,1,0,0.455190771960958,0,0,0,0,0,1,0.25,1,0,0,0,0,0.4,0.42741935483871,0,0,0,0,1,0,0,0,0,1,0.179073033707865,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2e+05,0,0,1,0,0.0482332606664126,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.685214626391097,0.647058823529412,0.981583342049926,0.98158394651049,1,0,0,0,0,1,0,0,0,0,0,0,0.15,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.152197023387668,1,0,0,0,0,0,0.0209698558322412,0.0924657534246575,0,0,0,0,0.217254991008078,0.476029055690073,0.5,0.375,0.333333333333333,0,0,1,0.455190771960958,0,0,0,0,0,1,0.5,1,0,0,0,0,0.4,0.325268817204301,0,0,0,0,1,0,0,0,0,1,0.16502808988764,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
129900,0,0,0,1,0.0284325653576465,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685214626391097,0.529411764705882,0.960677946539032,0.97013612947647,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.407534246575342,0,1,0,0,0.200571609422243,0.364164648910412,0.5,0.25,0.666666666666667,0,0,1,0.523291925465839,0,1,0,0,0,0,0.5,0,0,0,0,1,0.4,0.314516129032258,1,0,0,0,0,0,0,0,0,1,0.0632022471910112,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
118000,0,0,1,0,0.0344722179264012,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.475357710651828,0.647058823529412,0.964659926636345,0.97013612947647,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.150779588944011,0,0,0,0,0,1,0,0.0599315068493151,0,0,0,0,0.211366738683666,0,0.25,0.25,0.666666666666667,0,0,1,0.318988464951198,0,0,0,0,0,1,0.5,1,0,0,0,0,0.2,0.137768817204301,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
